RECORD #,CALL #,245|a,001,010,020|a,022|a
"b100001427","312 U58 1970","1970 census of housing.","931242779",,,
"b100002092","312 U58 1970","1970 census of population. :","ocm42045402",,,
"b10000216x","312 U58 1970","1970 census of population.","ocm42043784",,,
"b100004131","352.7 N56 PAE","11 new park areas :","ocm23533031",,,
"b100008136","974.72 B87 ET","The 300th birthday of Flatbush.","871265483",,,
"b10001222x","917.4723 B","85th anniversary celebration, Brooklyn Daily Eagle :","ocm30622090",,,
"b100012231","917.4723 B","80th anniversary celebration of the Brooklyn Daily Eagle, 1841-1921.","ocm30621998",,,
"b100016522","346.0438 A","Abstract and deduction of the title to a farm in the 9th ward of the City of Brooklyn, known as "The Hunterfly Farm," :","ocm43344574",,,
"b100021025","021.7 A","Advocating archives :","ocm30815855","94003797","0810829355 :",
"b100031730","711.4 A","Atlantic Center Plaza :","ocm43320513",,,
"b100031742","711.4 A","Atlantic Center Plaza :","ocm43313183",,,
"b100034925","317.471 A","Address directory /","ocm43499246","00242029",,
"b100036491","917.471 A","Appleton's dictionary of New York and its vicinity.","ocm06127990","sn 77020471",,
"b100047014","720.9747 A","AIA guide to New York City /","891021645","87017807","0151040400";"0156036002 (pbk.)",
"b100048808","973.05 A5123","American heritage.","ocm01479963 //r852","54014502",,"0002-8738"
"b100059363","712.0973 A","American landscape architecture :","891205897","88019632","089133145X (pbk.) :",
"b100065284","352 B87 M","Annual message of Hon... Mayor of Brooklyn, to the Board of Aldermen  ..., together with the annual reports of the various departments of the city government.","ocm35195202",,,
"b100070334","388.4 S439A","Articles of association of the Sea-side and Brooklyn Bridge Elevated Railroad Company.","ocm32538067",,,
"b100071582","353.1 A","Atlas of city property.","911185242",,,
"b100077365","317.471 A","Atlas of the census :","851359464",,,
"b100078485","624 A18","Acts of the State of New York and of the United States in relation to the New York Brooklyn Bridge :","896845254",,,
"b100078898","020 A52","Among ourselves.","ocm31881028",,,
"b100079349","929.3 A","Abstracts of wills of Kings County recorded at Brooklyn, N. Y. /","ocm43343767",,,
"b100085003","B RAYMOND A","Alfred Raymond :","ocm16268522",,,
"b100086354","285 B87A","Annual reports for Plymouth Church, Brooklyn N.Y.","ocm34240444",,,
"b100088041","362 B87 D","Annual report of the Brooklyn Diet Dispensary, No. 21 Dekalb Avenue.","ocm34462072",,,
"b100088053","352 B87 B","Annual report of the Brooklyn League.","ocm08580870","sn 77021006",,
"b100088077","025 B87","Annual report of the Board of Directors of the Mercantile Library Association of the City of Brooklyn.","ocm34196234",,,
"b100088090","362.62 A","Annual report of the Brooklyn Society for the Relief of Respectable, Aged, Indigent Females :","ocm08580888","sn 77020999",,
"b100088120","353 B87 F","Annual report of the Commissioner of the Department of Fire of the City of Brooklyn, N.Y., for the year ...","ocm30126810",,,
"b100088132","285 B87 CI","Annual report of the City Park Chapel.","ocm32208262",,,
"b100088156","387.12 B87DF","Annual report of the Department of Docks and Ferries.","ocm32407128",,,
"b100088302","379 B87 A","Annual report of the Superintendent of public schools, in the City of Brooklyn to the Board of Education.","ocm32463740",,,
"b100088314","352 B87 E","Annual report of the Superintendent of Public Instruction of the City of Brooklyn for the year ending ...","ocm11126244",,,
"b100088351","361 B87 CT","Annual report of the Tenement House Committee, Brooklyn Bureau of Charities.","ocm32463055",,,
"b100088363","267 B 87","Annual report of the Union for Christian Work of the City of Brooklyn.","ocm34241257",,,
"b100097418","352 B87 Ch2","An act to incorporate the City of Brooklyn :","ocm32171626",,,
"b100097984","233.1 F614 A","An appeal to matter of fact and common sense ;","906588871",,,
"b100098794","352 B 87 C2","An act to revise and amend the several acts relating to the City of Brooklyn, passed April 4, 1850.","ocm32108508",,,
"b100099105","352 B87 Ch3","An act to reduce the law incorporating the Village of Brooklyn, and the several acts amendatory thereof into one act, and to amend the same :","ocm32173664",,,
"b100100053","388.472 A","Atlantic Terminal Urban Renewal Area :","ocm43316482",,,
"b100104411","287.83 A","The African Wesleyan Methodist Episcopal Church :","ocm19857501",,,
"b100106626","330.974723 B","Brooklyn ... :","ocm35838994",,,
"b100106717","330.9747 B","Brooklyn 2000 :","ocm45147663",,,
"b100106742","330.9747 B","Brooklyn 2001 :","ocm46647641",,,
"b100109433","057 B 87","The Brooklyn advance.","ocm11340523",,,
"b100110745","811 B","Black and in Brooklyn :","ocm11913141",,,
"b100111634","974.723 B","Brooklyn almanac :","841402605","84071755","0933250118",
"b100113072","792.0293 B","[Brooklyn Academy of Music proposal].","ocm44536721",,,
"b100115032","330.97471 B","Brooklyn, a strategic policy statement.","ocm35772051",,,
"b100116553","818 B","Brooklyn and the world /","831598581",,"0913057002",
"b100117247","333.715 B","Brooklyn building! '87 /","906336272",,,
"b100118227","917.472 B87 BB","Brooklyn blue book and Long Island society register.","800130659","98002148",,
"b100121597","282.025 B","Blue book directory :","ocm55968354",,,
"b100123089","759.13 B872","Brooklyn before the bridge :","ocm08112865","81021717","0872730913 :",
"b100123107","388.13 B","Brooklyn-Battery Tunnel, connecting Lower Manhattan and South Brooklyn :","ocm15642846",,,
"b100123776","352.0747 B872","The Brooklyn city and Kings County record :","906615577","34000089",,
"b100123831","810.5 B","The Brooklyn College alumni literary review.","821065617",,,
"b100123855","280 B 87","Brooklyn Church and Mission Federation Annual report, 1936-44.","ocm32196622",,,
"b10012463x","352 B87 Bc","Brooklyn Civic Club bulletin.","ocm32180081",,,
"b100124689","794.05 B872","Brooklyn chess chronicle.","ocm08404960",,,
"b100124975","606 B872 B","The Brazil Centennial :","ocm32632227",,,
"b100124987","267.3 B872","Brooklyn Central.","907579188",,,
"b100126352","309.1747 C734 BR","Brooklyn communities :","ocm09034537","59004798",,
"b100127174","362.5 B","The Brooklyn charities record and directory.","ocm43320877",,,
"b100127654","687 B","Brooklyn can sew up the garment industry :","ocm45287311",,,
"b100128403","796.3576 B","Brooklyn Dodger baseball :","ocm29643328",,"0896770486 (pbk.)",
"b100128737","317 B87","Brooklyn Daily Eagle almanac :","834727577",,,
"b10012883x","071 B","Brooklyn Daily Eagle Hawaii park tour, 1921.","ocm34256326",,,
"b100128920","917.4723 B","Brooklyn Daily Eagle souvenir pictorial :","ocm31943224",,,
"b100129432","917.4723 B772","Brooklyn directory :","907220393",,,
"b100130422","917.472 B","Brooklyn directory of the arts.","ocm35147663",,,
"b10013435x","330.97471 B","Brooklyn economic profile and business outlook, 1986 /","861626211",,,
"b100135481","307.76 B","Beyond facades :","861064473",,,
"b100136059","917.4723 B","Brooklyn fact & trivia book.","871177436",,,
"b100136217","811.008 B","Brooklyn Ferry ;","770018731",,,
"b100137490","373.7471 B","Brooklyn Friends.","ocm35902625",,,
"b10014021x","361.8 B","The Brownsville guide to community resources /","ocm22758479",,,
"b100141171","974.7 B","Brooklyn's historic Atlantic Avenue :","ocm44733813",,,
"b100142722","917.472 B87 Hb","Brooklyn Heights blue book.","871090571","40014247",,
"b100142874","641 B873","The Brooklyn Heights cookbook :","896814879",,,
"b100143118","974.72 B87 H","Brooklyn Heights :","871090735","39021907",,
"b100143611","363.5 B","Brooklyn housing market profile :","861404172",,,
"b100148220","974.72 B","Brooklyn in the 21st century.","861073484",,,
"b10014861x","330.9747 B","Brooklyn in transition :","851067059",,,
"b100149133","296.05 B 872","Brooklyn Jewish Center review.","ocm10540425",,,
"b100151425","025 B872","The Brooklyn Library :","ocm34701112",,,
"b100153410","708.052 B872 BM","The Brooklyn Museum annual.","906293220","62051795",,"0068-2837"
"b100153823","708 B872 B","Brooklyn Museum bulletin.","907447002",,,
"b100155078","051 B 875","Brooklyn monthly.","ocm10970636",,,
"b10015573x","708 A","The Brooklyn Museum.","821169592",,,
"b100156186","974.72 B","Brooklyn neighborhood book /","861061011",,,
"b100158870","812 B33","The battle of Brooklyn :","906737993",,,
