001,010,020$a,022$a,245$a
"ocm06419651",,,,"The freedmen of Port Royal, South-Carolina :"
"ocm09894353","\\$a83177228","0960485856 (pbk.) :;9780960485857 (pbk.)",,"NYC access /"
"ocn154713233","\\$a2006940155","9780738550046 (pbk.);0738550043 (pbk.)",,"Bedford-Stuyvesant /"
"ocn886643758",,,,"Rules and regulations of the Cemetery of the Evergreens :"
"ocm35549601",,,,"The Cemetery of the Cypress Hills."
"ocn970955022",,"9781576874134;1576874133",,"On three pillars :"
"ocm03766350",,,,"A letter to Peter Cooper :"
"ocm16153049",,,,"The American theory of government considered with reference to the present crisis /"
"ocm16165831",,,,"The Missouri State Convention and its ordinance of emancipation :"
"ocm13540571",,,,"Pourquoi le Nord ne peut accepter la separation /"
"ocn166359951","\\$a2007037006","9781594482823",,"Brooklyn was mine /"
"ocm01488809","\\$a08008377",,,"Correct copies of the two protests against the bill to repeal the American Stamp Act, of last session. :"
"ocm04021756",,,,"Reconstruction :"
"ocn727948360",,,,"U.L.A. ""going home to vote"" :"
"ocm10364740","\\$a03032336",,,"The great questions of the times, exemplified in the antagonistic principles involved in the slaveholders' rebellion against democratic institutions as well as against the national union :"
"ocn123391052","\\$a2007016337","9780415953863",,"Art of the Brooklyn Bridge :"
"ocm66270096","\\$a05009520",,,"Miscegenation :"
"ocn163625265","\\$a2007031997","9789004162112 (hardback : alk. paper)",,"Fulfilling God's mission :"
"ocn165081811","\\$a2007031856","9780415954419 (cloth)",,"Branding New York :"
"ocm02121632","\\$a76010211","0525233776;0380017911 (pbk.)",,"The widow's children /"
"ocm55679244","\\$a2004013917","0807829188 (cloth : alk. paper)",,"The Pearl :"
"ocm53140111",,,,"Design for accessibility :"
"ocn476035436",,,,"The real Chicago platform, as expounded by the Democratic orators at Chicago :"
"ocm55511438","\\$a2004050804","1400061504",,"Metropolis :"
"ocm03817823","\\$a05027709",,,"A library of American literature from the earliest settlement to the present time /"
"ocm79495928",,,,"American independence. :"
"ocm57557578","\\$a2005042505","0743226712",,"1776 /"
"ocm56517442","\\$a2004021377","0813535859 (hardcover : alk. paper);0813535867 (pbk. : alk. paper)",,"Navigating interracial borders :"
"ocm35577009",,,,"Greenfield Cemetery."
"ocn643649495",,,,"Songs, poems, & verses /"
"ocm57506556","\\$a2005001032","081560808X (alk. paper)",,"The encyclopedia of New York State /"
"ocm56956099","\\$a2004026483","1558494839 (cloth : alk. paper)",,"One nation, one blood :"
"ocn261231491","\\$a08005079",,,"The arts of beauty"
"ocm49949939","\\$a2002104973","0945936508",,"James Daugherty, 1887-1974 :"
"ocm03714828","\\$a10006227",,,"Historical index to the Manuals of the corporation of the city of New York :"
"ocm23063025","\\$a90085945","0962819409",,"Index to baptismal surnames in the reformed churches of Claverack, Cortlandt, Fishkill ... /"
"ocm38560854","\\$a97076579","0966189507",,"Old Dutch Church members, 1659-1809 :"
"ocm02301110","\\$a43036414",,,"Oracles from the poets:"
"ocm61191817","\\$a2004020838","0813536006 (hbk.)",,"The greatest ballpark ever :"
"ocm56526458","\\$a2004021378","0813535875 (hardcover : alk. paper)",,"The Brooklyn Bridge :"
"ocm61117854",,"1560256516 (hbk.) :",,"Rum :"
"ocm00284757","\\$a56012444",,,"The last angry man"
"ocm59011624","\\$a2005047641","014303927X",,"Walt Whitman's Leaves of grass :"
"ocm58478348","\\$a2005045128","1931666105 (alk. paper)",,"Privacy and confidentiality perspectives :"
"ocn977738720",,"0805078428 (pbk.)",,"The historical atlas of New York City :"
"ocm01002797","\\$a72096201","0805235086;9780805235081;0805203877;9780805203875",,"The Negro church in America /"
"ocm56334128","\\$a2004057625","1400040299",,"New York burning :"
"ocm60323178","\\$a2005047987","1565849973 (pbk.)",,"Slavery in New York /"
"ocm01974205","\\$a75043560","0026154102",,"The track :"
"ocm57283702","\\$a2004029102","1567922864 (alk. paper)",,"No art without craft :"
"ocm60341513","\\$a2005012524","156898541X (hardcover : alk. paper);1568985649 (pbk. : alk. paper)",,"Once upon a time :"
"ocm00072829","\\$a74075064",,,"The game of baseball /"
"ocm60644856","\\$a2005050263","067401913X (alk. paper)",,"A fire in their hearts :"
"ocm58563501","\\$a2005007929","0807036269 (cloth : alk. paper)",,"Unchosen :"
"ocm04700430","\\$a11002973",,,"The adventures of a modest man /"
"ocm01014016","\\$a10018880",,,"Ailsa Paige"
"ocm08135626","\\$a98001384",,,"Ashes of empire"
"ocm00938880","\\$a15015607",,,"Athalie,"
"ocm01029304","\\$a11021861",,,"The common law,"
"ocm01107760",,,,"Blue-bird weather."
"ocm03936920","\\$a09024255",,,"The danger mark,"
"ocm05851754","\\$a16014870",,,"The girl Philippa /"
"ocm07034148","\\$a06029527",,,"The fighting chance,"
"ocm60321664","\\$a2005012572","9781566891745 (alk. paper);1566891744 (alk. paper)",,"From Baghdad to Brooklyn :"
"ocm03724051","\\$a10009851",,,"The green mouse,"
"ocm00938335","\\$a14005428",,,"Quick action,"
"ocm02291306","\\$a09008578",,,"Special messenger,"
"ocm03790179","\\$a08013948",,,"Some ladies in haste,"
"ocm02885366","\\$a06026734",,,"The maker of moons"
"ocm03563015",,,,"In search of the unknown /"
"ocm00875602",,,,"Puerto Rico :"
"ocm56929611",,,,"The younger set /"
"ocm02363511","\\$a15006067",,,"Who goes there!"
"ocm01982299","\\$a07017386",,,"The tree of heaven"
"ocm14020284","\\$a03021291",,,"The maids of Paradise"
"ocm01107689",,,,"Iole."
"ocm07996375","\\$a19010146",,,"In secret,"
"ocm01157050","\\$a14006554",,,"With the band."
"ocm32840448","\\$a06039372",,,"Helen's babies :"
"ocm01916216","\\$a06046674",,,"The scripture club of Valley Rest :"
"ocm00566057","\\$a06046672",,,"Some folks."
"ocm21109031",,,,"Once :"
"ocm03984373","\\$a60058012",,,"The worst boy in town."
"ocm62083464",,"0738537926",,"Williamsburg /"
"ocm82369965",,,,"The Brooklyn Dodgers"
"ocm05616086","\\$a79113713",,,"Barbados records :"
"ocm60824133","\\$a2005017577","0823224929",,"Brooklyn is :"
"ocn479208691",,,,"Who is responsible for the war? Who accountable for its horrors and desolations? :"
"ocm07460770","\\$a81003524 //r943","091005052X",,"Identifying American furniture :"
"ocm01502289","\\$a75013812","0030152615",,"Games of the world"
"ocm60028961","\\$a2005012268","9780471735120 (cloth);0471735124 (cloth)",,"Beer school :"
"ocm07239374","\\$a08026050",,,"A gallant fight."
"ocm01935118","\\$a08026065",,,"True as steel :"
"ocm01097022","\\$a07000323",,,"Frank Freeman's barber shop :"
"ocm60743196","\\$a2005018089","9780802714398 (hardcover);0802714390 (hardcover);0802715087 (paperback);9780802715081 (paperback)",,"The devil's own work :"
"ocm49423737",,,,"Roundhearts :"
"ocm00756606","\\$a11010951",,,"Queed,"
"ocm01022023","\\$a22008242",,,"Saint Teresa,"
"ocm57475869","\\$a2005040201","0805077146;9780805077148",,"The Brooklyn follies /"
"ocm31775322",,"0964298503",,"Reclaiming our past, honoring our ancestors :"
"ocm00073568","\\$a70116781 //r86",,,"The New York Mets :"
"ocm01344788","\\$a67003988",,,"The story of tobacco in America /"
"ocm01238088","\\$a01014941",,,"The annals of Newtown, in Queens county, New-York :"
"ocm62341614","\\$a2005055897","9780743267274",,"Hanging Captain Gordon :"
"ocm03363160","\\$a36024858",,,"The modern temple and templars"
"ocm50606494","\\$a2002034299","0760738874 (alk. paper)",,"Coney Island /"
"ocm01807856",,,,"This is my husband :"
"ocm58831506","\\$a2005043927","0691121052 (cloth : alk. paper);9780691121055 (cloth : alk. paper);9780691136318 (pbk.);0691136319 (pbk.)",,"The price of whiteness :"
"ocm01050137","\\$a65025469",,,"Michiko"
"ocm60603261","\\$a2005016576","0810856662 (hardcover : alk. paper)",,"How music grew in Brooklyn :"
"ocm60605200","\\$a2005016269","9780374116903 (alk. paper);0374116903 (alk. paper)",,"Brookland /"
"ocn862052743","\\$a25010283",,,"A century of carpet and rug making in America, 1825-1925."
"ocm60550567","\\$a2005049853","0345476387",,"The big oyster :"
"ocm62322291","\\$a2005032839","9781584655619 (cloth : alk. paper);1584655615 (cloth : alk. paper)",,"Crown Heights :"
"ocm32824362",,,,"Indians of Long Island before the settlers came /"
