ocn154713233,b11388182a,1,Bedford-Stuyvesant,"Kelly, Wilhelmena Rhodes, 1946-","Charleston, SC : Arcadia Pub., [2007] ©2007 ","9780738550046,978-0738550046,0738550043",974.723 K,Book
ocm35549601,b10028416a,1,The Cemetery of the Cypress Hills.,,"New York : Jared W. Bell, 1849. ",,718 C99,Book
ocn166359951,b11379552a,1,Brooklyn was mine,,"New York : Riverhead Books, 2008. ","9781594482823,978-1594482823,1594482829",974.723 B,Book
ocn123391052,b11538128a,1,Art of the Brooklyn Bridge : a visual history,"Haw, Richard, 1968-","New York : Routledge, [2008] ©2008 ","9780415953863,978-0415953863,0415953863",624.23 H,Book
ocm31723035,b10105968a,1,Reminiscences of St. Augustine's Parish and it pastor,,"Brooklyn, N.Y. : [publisher not identified], [1920] ",,282.74723 R,Book
ocm19228172,b10092052a,1,"Our Lady of Perpetual Help, Brooklyn, N.Y.",,"South Hackensack, N.J. : Custombook, 1968. ",,282.747 B,Book
ocm32149859,b10627715a,1,Protestant churches in the Brooklyn Heights : a study of adaption,"Lee, Robert.","Brooklyn, N.Y. : Brooklyn Division of the Protestant Council of the City of New York, S. Parkes Memorial Center, [1954] ",,261.8 L,Book
ocm22634953,b10803115a,1,Letter-missive.,"Plymouth Church (Brooklyn, New York, N.Y.)","[Brooklyn] : [the Author], [1876] ",,285 B87 PL,Book
ocm10841111,b10607352a,1,Hundert Jahre Deutsche Evangelisch-Lutherische Zions-Germeinde in Brooklyn in Wort und Bild / Heinrich Arend Kropp.,"Kropp, Heinrich Arend.","Brooklyn Heights, New York : [publisher not identified], 1955. ",,GER 284.1 K93 H,Book
ocm01131755,b10069425a,1,Jehovah's Witnesses in the divine purpose.,,"Brooklyn, N.Y. : Watchtower Bible and Tract Society of New York : International Bible Students Association, [1959] ©1959 ",,289.92 J,Book
ocm32954695,b10287315a,1,"Henry Ward Beecher : a sermon, Sunday morning, March 13, 1887","Chadwick, John White, 1840-1904.","Boston : George H. Ellis, [1887] ",,B B414 C,Book
ocm34071911,b10134961a,1,"William Van Anden Hester, 1858-1924 : the story of his life as told by the press of city, state and nation with tributes from associates and friends and resolutions of organizations.",,"[Brooklyn, N.Y.] : Published by the Brooklyn Daily Eagle, [1924] ",,B HESTER B,Book
ocm31470303,b10396918a,1,Brooklyn boy remembers,"Faison, Jack.","Brooklyn, NY : Great Bridge, between 1980 and 1989? ",,B FAISON B,Book
ocm29643353,b10135233a,1,"World War II in Brooklyn, N. Y., 1939-1945.",,"Verplanck, NY : Historical Briefs, Inc., [1993] ©1993 ",0896770478,974.723 W,Book
ocm06776765,b10943946a,1,"Brooklyn and Long Island Sanitary Fair, 1864.","Stryker-Rodda, Harriet.","[Brooklyn, N.Y.] : Long Island Historical Society, [1964] ",,973.77 S,Book
ocm21517205,b10053493a,1,Gaslight New York revisited,,"Secaucus, N.J. : Castle, [1989] ©1989 ",1555215394,917.471 G,Book
ocm31732777,b10109510a,1,Saving Brooklyn's last forest : the plan for Prospect Park.,,"Brooklyn, NY : Prospect Park Alliance, [1994] ",,974.723 S,Book
ocm32393591,b10572860a,1,Brooklyn in the sixties,"Jurgrau, Howard B., 1925-1972.","Chappaqua, N.Y. : Crane & Hopper Publishers, 1995. ",0964097745,974.723 J,Book
ocm30676807,b10133963a,1,Walk Park Slope : a guide book.,,"Staten Island, N.Y. : High Rock Park Conservation Center, [1977?] ",,917.4723 W,Book
ocm38525314,b10412082a,1,"The Brooklyn chronicles : a collection of legends, myths, and tales of Brooklyn - with some scurrilous lies, and a few questionable facts thrown in","Fleminger, Irwin.","Brooklyn, N.Y. : The author, [1996] ©1996 ",0965797406,398.232 F,Book
ocm26345784,b10218910a,1,The Brooklyn Dodgers,"Bjarkman, Peter C.","Secaucus, N.J. : Chartwell, [1992] ©1992 ",1555217613,796.357 B,Book
ocm29643328,b10012840a,1,"Brooklyn Dodger baseball : ""Them wonderful bums"" 1901-1956.",,"Verplanck, NY : Historical Briefs, Inc., [1993] ©1993 ",0896770486,796.3576 B,Book
