Field	Subfield	In Records	Total
000		35801	35801
001		35801	35801
005		35788	35845
006		47	47
007		2080	2140
008		35799	35799
010		14717	14717
	$a		14673
	$z		142
015		125	126
	$2		35
	$a		126
016		192	202
	$2		179
	$a		202
017		12	12
	$b		12
	$a		12
019		2	2
	$a		2
020		2222	3128
	$b		2
	$c		637
	$a		2913
	$q		230
	$z		58
022		23	23
	$2		7
	$a		23
	$l		6
024		1562	1566
	$d		1
	$c		1
	$a		1566
	$2		1542
028		6	6
	$b		6
	$a		6
032		4	4
	$b		4
	$a		4
033		1	1
	$a		1
034		1751	1853
	$b		418
	$c		3
	$a		1852
	$f		1642
	$g		1641
	$d		1643
	$e		1642
	$2		161
035		32440	74008
	$b		36
	$9		2
	$a		74002
	$z		1586
037		41	54
	$b		53
	$n		2
	$a		27
040		35683	35683
	$b		4509
	$c		34021
	$a		32417
	$d		44858
	$e		3038
041		1780	1780
	$b		5
	$h		134
	$a		1805
	$g		1
042		416	416
	$a		440
043		17199	17199
	$b		1
	$a		19557
045		91	91
	$b		40
	$a		67
046		1	1
	$c		1
	$a		1
047		4	4
	$a		11
048		4	5
	$b		4
	$a		10
049		20	20
	$b		1
	$a		20
050		16856	16983
	$b		16792
	$a		17208
051		326	428
	$b		82
	$c		410
	$a		83
052		1690	1962
	$2		3
	$b		4078
	$a		1962
055		30	33
	$b		21
	$a		33
060		60	73
	$b		55
	$a		73
066		1	1
	$c		1
070		47	47
	$b		43
	$a		47
072		97	133
	$2		66
	$a		134
074		4	4
	$a		4
079		33020	33020
	$a		33020
	$z		1230
080		2	2
	$a		2
082		5232	5262
	$2		1392
	$b		229
	$a		5510
084		79	103
	$2		103
	$a		112
086		99	99
	$2		16
	$a		99
088		4	4
	$a		4
090		9127	9155
	$b		7889
	$h		1183
	$i		1499
	$a		8016
092		2189	2189
	$b		1881
	$a		2189
096		1	1
	$a		1
099		1559	1559
	$a		1560
100		24434	24434
	$4		2
	$c		290
	$a		24434
	$q		5064
	$d		16825
	$e		180
	$u		2
	$k		1
	$b		2
110		3947	3947
	$b		1507
	$c		5
	$a		3947
	$g		2
	$d		20
	$t		34
	$e		75
	$n		7
	$p		5
111		61	61
	$c		42
	$a		61
	$d		57
	$e		1
	$n		19
130		118	118
	$s		6
	$a		118
	$f		13
	$d		2
	$k		1
	$p		19
	$l		13
210		16	16
	$b		3
	$a		16
222		23	23
	$b		4
	$a		23
240		313	313
	$d		2
	$s		6
	$a		313
	$f		8
	$g		2
	$p		2
	$t		1
	$k		13
	$n		4
	$l		64
242		1	1
	$y		1
	$a		1
245		35801	35801
	$b		16746
	$c		22762
	$a		35801
	$f		1567
	$g		148
	$p		113
	$k		46
	$h		426
	$n		162
246		4571	5669
	$b		293
	$a		5657
	$f		51
	$p		10
	$5		444
	$h		1
	$i		1775
	$n		3
247		4	11
	$a		11
	$f		11
	$g		1
250		2014	2017
	$b		110
	$c		1
	$a		2017
255		1753	1854
	$b		81
	$c		1641
	$a		1816
256		1	1
	$a		1
260		33326	33327
	$b		30715
	$c		33073
	$a		33372
	$f		976
	$g		8
	$e		934
263		42	42
	$a		42
264		636	838
	$b		675
	$c		788
	$a		685
300		35742	35746
	$b		18266
	$c		31688
	$a		35749
	$f		124
	$e		76
	$N		1
	$4		1
	$3		40
306		1	1
	$a		1
310		162	162
	$b		17
	$a		162
321		16	21
	$b		21
	$a		21
336		1375	1395
	$2		1395
	$b		1363
	$3		2
	$a		1395
337		1375	1376
	$2		1376
	$b		1345
	$3		2
	$a		1376
338		1365	1367
	$2		1367
	$b		1336
	$3		2
	$a		1366
340		1	1
	$m		1
	$2		1
351		106	111
	$b		111
	$9		5
362		162	193
	$a		193
	$z		25
490		2108	2140
	$x		16
	$v		1291
	$a		2144
500		23264	41287
	$6		1
	$a		41287
	$5		3537
	$9		8
	$3		1
501		64	66
	$5		2
	$a		66
502		98	98
	$d		8
	$b		7
	$c		8
	$a		91
504		4287	4329
	$a		4329
505		1537	1568
	$r		234
	$a		1526
	$g		117
	$t		447
	$9		14
506		1559	1563
	$a		1563
507		5	5
	$b		1
	$a		4
508		1	1
	$a		1
510		1523	2574
	$b		1
	$c		2554
	$a		2574
	$u		1
511		1	1
	$a		1
515		41	58
	$a		58
518		1	1
	$d		1
	$p		1
	$o		1
520		2054	2965
	$c		11
	$a		2965
521		4	4
	$a		4
524		1539	1539
	$a		1539
525		3	3
	$a		3
530		1251	1257
	$a		1257
	$u		5
533		969	970
	$b		993
	$c		869
	$7		2
	$a		970
	$f		8
	$d		830
	$e		697
	$n		198
	$m		3
534		81	81
