,4
reclass from gen periodicals;,172
reclass from Vital Records;,165
reclass from NYS;,164
do not print;,131
reclass from Desk Ref;,97
Reclass from Conserv. Box A;,92
Reclass from Conserv. Box B;,82
reclass from vital records nyc;,77
reclass from Vit. Rec. BKLN;,77
Reclass from NYS;,67
Reclass from Vit Rec L.I.;,64
DO NOT PRINT!;,63
closed stack;,61
Reclass from LI D4585L;,58
Reclass from Conserv. Box C;,50
reclass from Hered. Soc.;,46
Reclass from Census;,45
reclass from Gen periodicals;,42
reclass from Staff Ref;,39
reclass from Vit. Rec. NYC;,39
reclass from Vital Records NYC;,34
Reclass from Ref;,33
Reclass from General Collection;,32
spec coll;,28
Reclass from LI L8545L;,28
Reclass from LI Sk295;,28
reclass from Spec. Coll.;,27
reclass from NYC coll.;,24
reclass from newbooks box 9;,23
reclass from Coll. Biog.;,22
Reclass from LI Pamphlet v.1;,22
reclass from Vit Rec NYC;,22
Reclass from NYC;,22
reclass from Vit Rec NYS Columbia Co.;,21
Reclass from Z1215 .Am35;,21
Reclass from LI Pamphlet v.24;,21
reclass from LC stacks no call number;,21
Reclass from LI Pamphlet v.13;,21
reclass from newbooks box 13;,21
reclass from Z1215.Am35;,21
reclass from Vit. Rec. NYS Onondaga Co.;,21
reclass from newbooks box 2;,21
Reclass from LI Pamphlet v.2;,20
Reclass from Hered Soc;,19
Reclass from LI Pamphlet v.10;,19
R/A Un355b;,19
reclass from Closed Stack;,19
reclass from newbooks box 14;,18
reclass from Vit. Rec. L.I.;,18
reclass from Wills;,17
Reclass from Vit Rec Brooklyn;,17
reclass from Vit. Rec. NYS Otsego Co.;,17
Reclass from LI Pamphlet v.7;,17
Reclass from LI Pamphlet v.31;,17
reclass from newbooks box 4;,17
reclass from newbooks box 23;,17
Reclass from L.I.;,17
reclass from newbooks box 15;,17
reclass from newbooks box 18;,16
Reclass from LI Pamphlet v.34;,16
reclass from newbooks box 6;,16
Reclass from LI Pamphlet v.4;,16
reclass from newbooks box 7;,16
reclass from Vital Records NYS Westchester Co.;,16
Reclass from Vit Rec NYS Shawangunk;,16
reclass from Geneal.;,15
Reclass from LI Pamphlets v.22;,15
Reclass from LI Pamphlet v.21;,15
reclass from Am. Rev. G7985;,15
Reclass from: LI PV Indians;,15
Reclass from LI Pamphlet v.9;,15
reclass from Vit Rec MA Mendon;,14
Reclass from Ref F129.B7 N58 1970;,14
Reclass from Ref.;,14
reclass from newbooks box 3;,14
Reclass from LI Pamphlet v.17;,14
reclass from newbooks box 19;,14
Reclass from LI Pamphlet v.19;,13
reclass from newbooks box 12;,13
Reclass from LI Pamphlet v.26;,13
Reclass from CT275.S7515 C35p 1931;,13
Reclass from Coll. Biog.;,13
reclass from desk ref;,13
Reclass from LI Pamphlet v.15;,13
reclass from Vital Records Queens;,13
Reclass from Bronx;,13
Reclass from LI Pamphlet v.20;,13
reclass from newbooks box 10;,13
reclass from newbooks box 1;,12
reclass from vit rec nys schoharie co.;,12
Reclass from Vit Rec;,12
reclass from Ref;,12
reclass from newbooks box 5;,12
reclass from Vit Rec NYS Montgomery;,12
reclass from Vit. Rec. NYS Palmyra;,12
Reclass from LI Pamphlet v.3;,12
Reclass from LI Pamphlet v.27;,12
reclass from newbooks box 24;,12
Reclass from HE753 .N58 1915;,12
reclass from Vit Rec CT Greenwich;,12
reclass from Vit. Rec. NYS Ontario Co.;,12
reclass from PS504 .L53 1888;,11
Reclass from LI Pamphlet v.16;,11
Reclass from LI Pamphlet v.14;,11
reclass from Vital Records Brooklyn;,11
Reclass from NYC coll.;,11
reclass from Z1215 Am;,11
reclass from Vit. Rec. NYS Orange Co.;,11
reclass from Vit. Rec. NYS Oneida Co.;,10
reclass from vit. rec. NYS Sullivan Co.;,10
reclass from LC stacks;,10
Reclass from LI Pamphlet v.5;,10
reclass from LI Pamphlet v.33;,10
reclass from Vit Rec CT;,10
reclass from Vit. Rec. NYS Hudson;,10
reclass from NYS AL13 M9275;,10
reclass from Vit. Rec. Queens;,10
reclass from Vit Rec NYS Washington Co.;,10
reclass from Vit. Rec. NYS New Paltz;,9
reclass from Vit. Rec. NYS New Hurley;,9
reclass from CS71.J7 1989;,9
reclass from newbooks box 16;,9
reclass from L.I. Ea77 Ea775r;,9
Reclass from LI Pamphlet v.30;,9
Reclass from LI Pamphlet v.29;,9
reclass from Vit Rec NYS;,9
reclass from Vit. Rec. NYS Kingston;,9
Reclass from Vit Rec NYS Rochester;,9
Reclass from LI Pamphlet v.25;,9
Reclass from Hered. Soc.;,9
reclass from Census NoCarol 1820;,9
reclass from L.I. H37 H3785r;,8
reclass from L.I. Oy8 Oy85;,8
reclass from Vit Rec NYS Ulster Co.;,8
reclass from Vit. Rec. NYS Purchase;,8
Reclass from VA61.A53;,8
reclass from Vit. Rec. NYS Greene Co.;,8
reclass from Geneal. no call number.;,8
reclass from FOL;,8
Reclass from LI Pamphlet v.28;,8
reclass from newbooks box 11;,8
reclass from Vit Rec NYS Wayne Co.;,8
reclass from Vit Rec NYS Delaware Co.;,8
reclass from Vit Rec NJ;,7
reclass from Vit Rec VA;,7
reclass from vit. rec. nys rockland co.;,7
reclass from Vit Rec NYS Cherry Valley;,7
Reclass from geneal. D;,7
reclass from NYS E286;,7
reclass from newbooks box 25;,7
reclass from Vit Rec PA;,7
reclass from Puerto Rico;,7
reclass from Vit. Rec. NJ Monmouth Co.;,7
reclass from Am. Rev. G6595;,7
reclass from NJ P6733 M7534;,7
reclass from conserv box c;,7
reclass from Vit Rec NYS Chappaqua;,7
reclass from Vit Rec CT Stamford;,7
reclass from NYC F3985;,7
reclass from NYC Coll.;,7
reclass from NYS B39 B3905;,7
reclass from L.I. Ea77 Ea775t;,7
Reclass from Folio;,6
Reclass from Upstairs CT275 .B4343 B47 1887;,6
reclass from Census Vermont 1850 Addison County;,6
reclass from Vit Rec NC;,6
reclass from Vit. Rec. NYS Newark;,6
reclass from NYS M2255;,6
Reclass from LI;,6
reclass from Vit. Rec. NYS Nine Partners;,6
reclass from NJ;,6
reclass from geneal. W;,6
reclass from Vital records;,6
reclass from Vit. Rec. NYS Herkimer;,6
reclass from Geneal. M;,6
reclass from L.I. Se945;,6
