,7
BHS reference copy is a bound photocopy.,2
BHS's reference holdings are bound photocopies.,1
reclass from black hist K2655,1
reclass from LI Se73 K6725,1
Reclass from Conserv. Box B,1
BHS's copy is a photocopy of this facsimile.,1
Lacks 2 leaves of text,1
Reclass from Ref BF353.5.C53 O33p 1982,1
Reclass from Ref. F129.B7 R63 1956,1
Reclass from Upstairs BX1418.B76 K43 1972,1
Reclass Z1029.W56,1
reclass from JS344.A53 N58p 1890b,1
Reclass from Ref E263.N6 H35,1
Brooklyn Historical's copy is a photocopy.,1
