,i
.A43 1952,226
L6 v. 1,68
N49 1963,65
N3 box 1,62
.D438 1933,54
A182,31
.G674 1931,28
A234 1963,28
L53 1901,28
S54,28
.T38 1964,25
F3 1964,25
.T38 1965,24
.D63 1880,24
.M37 1933,23
.A43 1958,23
.D56 1928,22
B35 1979,22
F3 1963,22
Q4 v. 1,22
L6 v. 12,22
N3 box 2,21
L6 v. 13,21
L6 v. 24,21
.G68 1972,21
.A27 1934,20
L6 v. 10,19
.S23 1868,19
.U5115 1863,19
B48 1992,18
L6 v. 22,18
.O43 1948,18
B556,18
B758 1900z v. 3,17
L6 v. 7,17
L6 v. 31,17
.N58,17
.C435 1972,17
L6 v. 4,16
.H57 1933,16
L6 v. 8,16
L6 v.34,16
.T38 1966,16
W47 1914,15
L6 v. 9,15
B3 1950,15
L6 v.36,15
Q4 v. 3,15
B758 1900z v.1,15
L66 1900z v. 5,15
A49 1881,15
A212 1934,15
O65,15
L66 1900z v. 2,15
L6 v. 21,15
L6 v. 19,15
B37 1931,14
L6 v. 17,14
I57 1900z,14
.B84,14
.E92 1903,14
F75 1905,14
L6 v. 11,14
A264 1962,14
L6 v. 26,13
C35 1931,13
L6 v. 20,13
.T38 1963,13
L6 v.15,13
L66 1900z v. 3,13
L6 v. 6,13
P74 1876,13
.C5 1910,13
L6 v. 3,12
.J646 1989,12
G8 1983,12
Q4 v. 5,12
A5 1848,12
.S44 1915b,12
L6 v. 27,12
O4,12
B76,12
A212 1939,12
.B76,12
A27 1942,12
.B76 1900c,11
.L53 1889,11
G8 1982,11
L6 v. 14,11
L6 v. 16,11
G735 1935,11
B37 1929,11
L66 1900z v. 1,10
L6 v.33,10
Q4 v. 2,10
L6 v. 35,10
L6 v. 5,10
.R7913 1968,10
C66 1900z,10
M9 1850,10
.M356 1931,10
.A4,10
.C44 1964,10
C46 1938,10
L6 v. 2,10
S4754 1869,10
G8 1987,9
L6 v. 25,9
A3 1901,9
H39 1925,9
L6 v. 29,9
B758 1900z v.2,9
J7 1863,9
S66 1900z,9
A3 1911,9
L6 v. 30,9
G8 1980,9
N79 1857,9
M66 1930,9
A4 1911,9
.U6 1908,9
A2 1887,9
A3 1869,9
L66 1900z v. 4,9
A279 1900z,9
A1,8
A3 1904,8
A228 1926,8
A3 1914,8
A21 1916,8
.P68 1970,8
A3 1886,8
.A53 1959,8
.B76 1900,8
.C66 1914,8
.A5 1905,8
N58 1970z v.2,8
L6 v. 32,8
S65 1900z,8
G73 1932,8
.E24,8
A4 1894,8
Q4 v. 8,8
.G535347 1976b,8
F75 1906,8
A21 1896,8
G8 1984,8
R44 1900z,8
Q4 v. 4,8
Y45 2019,8
L6 v. 28,8
.B76 1900l,8
.C35,8
A27 1938,7
.B76 1900m,7
.D64 1849,7
.N717 1982,7
A27 1937,7
A3 1909,7
Y45 2019 c.2,7
A55 1966,7
.M33 1921,7
.D836 1968,7
E2 1926,7
V573 1931,7
B37 1930,7
I57 1941,7
C46 1900z,7
L665 1912,7
H86 1887,7
A3 1913,7
.N58 1915,7
.C6754 1937,7
W55 1900z,7
F25 1983,7
.D437 1933,7
.N53 1897,7
S4 1961,7
.V5 1925,7
A3 1952,7
.B76 1900k,7
.M22 1966,7
.N58 1915 c.2,6
N58 1970z v.1,6
F53 1955 c.2,6
G8 1981,6
E17 1916,6
A3 1920,6
A256 1940,6
.H56 1936,6
.S85 1915,6
.A6 1952,6
.U55 1907,6
F53 1955 c.1,6
.S95 1927,6
1900z,6
.V582 1947,6
A3 1923,6
.U53 1932c,6
.N58 1900,6
R46 1927,6
.S38 1939,6
A3,6
.B6771 1926,6
A3 1927,6
A4,6
.P25 1966,6
S43 1900z,6
.D4 1842,6
.U57 1889,6
H46 1900z,6
.N58 1915 c.1,6
N58 1969,6
B37 1939,6
.B44 1885,6
.C376 1932,6
A3 1915,6
B73,6
A5 1881,6
L51,6
.J33 1976 Index,6
.S85 1967,6
B76 1979,6
G8 1988,6
.I53 1950,6
I5 1888,6
.V57 1972,6
.M3343 1958,6
B37 1932,5
S8 1884,5
I57 1922,5
I576 1900z,5
A56 1800z,5
G8 1931,5
O75 1893,5
A5 1898,5
.C438 1951,5
.W4685 1937,5
.A849 1901,5
.B76 1900b,5
.L53 1930,5
N45 1974,5
.B44 1871,5
.M6776 1898,5
A212 1935,5
A3 1902,5
.U55 1883,5
S47 1864,5
B371 1941,5
A4 1930,5
.S5356 1908,5
F753 1905,5
A3 1890,5
.A76 1801,5
S25 1923,5
.G535347 1976,5
S54 1864,5
S86 1909,5
I78 1855,5
.S75 1903,5
.B87 1919,5
S85 1917,5
A223 1938,5
.W55 1933,5
.K464 1900z,5
A3 1864,5
A2 1940,5
.E91 1829,5
F74 1937,5
.D64 1901,5
.M37 1804,5
A4 1891,5
B37 1940,5
J83 1968,5
A26 1979,5
A3 1916,5
R35 1975b,5
S73 1917,5
.L44 1902,5
W552 1947,5
.L5 1906,5
M37 1900z,5
B76 1927,5
H8 1927,5
F57 1877,5
A3 1929,5
O58 1923,4
R47 1854,4
C46 1932,4
A3 1925,4
.B95 1804,4
.W43782 1951,4
F57 1876,4
U6 1969,4
.R46 1911,4
.N493 1894,4
.B384 1938,4
.L531 1915,4
R442 1912,4
W553 1947,4
.H37654 1934,4
A3 1924,4
1931,4
A3 2007,4
.H55 1902,4
A3 1922,4
.O8 1894,4
.F74 1948,4
M46 1888,4
D7 1925,4
.M67 1857,4
G73 1931,4
G474 1958,4
M67 1959,4
B76 1991,4
1920 E24,4
.S72 1787,4
P74 1877,4
.S73 1886,4
.L47 1910,4
.R36 1943,4
.S22 1965 c.1,4
H578 1883,4
.B44 1886,4
N48 1993,4
C469 1934,4
C68 1973,4
.C91 1901,4
.B76 1900e,4
.W82 1842,4
P59 1875,4
P74 1966,4
.D69 1969,4
F751 1905,4
B76 1896,4
A4 1940,4
.A325 1944,4
V36 1924,4
.E22 1965,4
C65 1909,4
1922,4
I573 1904,4
F752 1905,4
.O82 1924,4
F57 1899,4
.A3 1854,4
.B44 1887,4
.T74 1899,4
A236 1973,4
.W74 1892,4
A255 1977,4
S79 1974,4
.B766 1961,4
T46 1918,4
S6 1885,4
A1 1872,4
C66 1916,4
A263 1900z,4
.D64 1850,4
.L8 A33,4
F8 1925,4
.W29 1805,4
1896,4
.M6775 1925,4
.G66 1788,4
A282 1907,4
.B92 1878,4
P59 1892,4
S8 no.3,4
Q4 v. 6,4
I574 1900z,4
.W464 1900,4
A3 1859,4
.L5 1948,4
.F67333 1994 c.1,4
A3 1939,4
P74 1892,4
.R55 1999,4
F57 1893,4
R47 1858,4
.L34 1874,4
B66 1893b,4
.V24 1974,4
.V35 1927,4
M91 1865,4
G8 1907,4
1881,4
.B76 1900f,4
G56 1930z,4
.C7 1901,4
A212 1936,4
A3 1984,4
.H57 1897,4
A3 1965,4
D46 1992,4
.E73 1853,4
A253 1939,4
.S383 1981,4
F57 1867,4
B76 1880,4
R63 1865,4
V583 1970,4
S75 1915,4
I57 1910,4
H54 1923,4
C66 1915,4
C58 1984,4
.A554 1942,4
2007,4
.S22 1965 c.2,4
.E274 1806,4
F57 1880,4
.A4 1961,4
.A56 1785 c.1,4
F64 1937,4
P74 1893,4
.W553 1942,4
.F54 1911,4
M46 1980,4
S4 1917,4
I5 1889,4
.S25 1892,4
P59 1896,4
R5 1931,4
.M33 1910,4
.S22 1860,4
G84 2004,3
A3 1898,3
.L4 1924,3
1895,3
.B693 1915,3
B37 1910,3
A245 1937,3
R44 1891,3
A26 1977,3
M33 1891,3
A3 1899,3
S37 1903,3
P76 1949,3
M2415 1970,3
.B76 1932,3
P59 1888,3
.B76 1900d,3
.A89 1930,3
R47 1847,3
.N45 1901,3
B76 1891,3
G86 1895,3
P7,3
P74 1929,3
H6 1903,3
.B76 1900i,3
.S84 1901,3
W45 1897,3
.J33 1977,3
.S3 1916,3
B7665 1930,3
S36 1922,3
.A1 1871,3
1926,3
L54 1940,3
A4 1992,3
O652,3
.C67 1932,3
.B89 1898,3
A3 1956,3
A5 1910,3
F57 1866,3
.H85 1947,3
L35 1895,3
A263 1941,3
S35 1973,3
.P3754 1915,3
.C48 1911,3
A3 1912,3
F57 1898,3
P37 1860,3
.A3 1857,3
.H55 1901,3
.D55 1934,3
.D9 1918,3
S4 1941,3
H4 1925,3
S74 1900z,3
A4 1973,3
.B76 1904,3
.G662 1789,3
N49 1900z,3
A285 1946,3
.N58 1937,3
P37 1897,3
.W45 1880,3
.B445 1956b,3
W55 1936,3
I57 1939,3
.B44 1874,3
R447 1954,3
S6 1881,3
.L364 1891,3
B76 1885,3
.W3845 1932,3
P74 1888,3
C46 1968,3
.D3795 1928,3
B48 1896,3
F57 1941,3
W45 1902,3
D63 1979,3
R8 1903,3
.L5637 1858,3
.F67333 1968,3
G743 1932,3
A274 1925,3
.B667 1949,3
G72 1933,3
.B4592 1930,3
C66 1858,3
A3 1933,3
.S623 1910,3
.R647 1970,3
A23 1941,3
Q4 v. 7,3
.L475 1869,3
I5 1885,3
.E9487 1962,3
A25 1921,3
.F5 1968,3
.S73 1886 Index,3
A3 1905,3
.A3 1849,3
.B447 1972,3
F67 1890,3
A3 1942,3
.H37 1899,3
S67 1864,3
B87 1900z,3
.B526 1914,3
C67 1885,3
.U6 1907,3
.S55 1978p,3
1909,3
P54 1922,3
F756 1905,3
A3 1853,3
F574 1939,3
.C548 1899,3
A22,3
.I545 1950,3
I57 1906,3
T46 1853,3
S79 2007,3
I5 1886,3
.G3 1956,3
.G6 1976,3
.M3295 1984,3
.N54 1912,3
H46 1922,3
.B749 1887,3
.C6 1911,3
.S578 1981,3
Z56 1985,3
.E55 1842,3
H37 1951,3
M46 1884,3
.B474 1975,3
A23 1964,3
.C53 1806b,3
A1 1868,3
.B76 1896,3
.M676 1901,3
A2 1904,3
C43 1895,3
.M8 1898,3
M37 1984,3
.H57 1939,3
T69 1981p,3
.S79 1867,3
.B22 1876,3
.U52 1835,3
O754 1869,3
C35 1908,3
H6 1922,3
1897,3
B76 1883,3
R43 1800z,3
.H3 1855,3
.A33 1923,3
S475 1870,3
.B5211 1927,3
A3 2010,3
A3 1972,3
N67 1867b,3
A256 1929,3
A3 1991,3
F57 1939,3
Z55 1946,3
I58 1904,3
1879,3
A235 1975,3
.S48 1922 c.1,3
S47 1855,3
A26 1976,3
.U552 1907,3
S6 1928,3
M55 1915,3
1970,3
W55 1934,3
M232 1941,3
A3 1918,3
H35 1881,3
S6 1898,3
S776 1950z,3
C37 1901,3
C46 1936,3
A3 1908,3
A3 1928,3
.N58 1899,3
.B745 1938,3
L67,3
.N36,3
T66 1900z,3
.B56 1924,3
C37 1898,3
A3 1875,3
.G757 1935,3
H5 1923,3
F57 1900z,3
.B44 1846,3
B9 1927,3
J15 1914,3
.B76 1877,3
W45 1883,3
S63,3
.R5365 1959,3
.O75 1876,3
.M33 1829,3
A212 1900zp,3
A5 1909,3
.W3856 1939,3
S76 1848,3
.T95 1912c,3
A4 1912,3
R47 1953,3
.P35 1912,3
.K457 1928,3
N58 1979,3
F754 1905,3
.M33 1906,3
.B76 1927,3
P74 1899,3
W45 1973,3
B66 1893,3
2004,3
1937,3
I46 1990,3
.S3645 1945,3
.F755 1905,3
U5 1984,3
.H8574 1998,3
W45 1903,3
M37 1833,3
L43 1968,3
O54 1921,3
.F54 1916,3
.B8,3
R44 1929,3
1899,3
.C993 1912,3
1907,3
A5 1914,3
T66 1933,3
.K4556 1903,3
.A739 1918,3
B74 1972,3
N35 1920,3
O43 1900z,3
P35 1912,3
G87 1991,3
F57 1974,3
.B699 1908,3
F79 1900z,3
S4 1910,3
.N49 1984,3
N49 1889,3
P73,3
1913,3
G7 1946,3
F57 1892,3
C46 1923,3
S4755 1874,3
.V3636 1916,3
1900,3
I57 1909,3
.B69 1919,3
A212 1900z,3
N49 1940,3
.S66 1842,3
C46 1964,3
A257 1949,3
.M37 1940,3
L6 v. 23,3
A4 1989,3
.H5 1891,3
C45 1896,3
.N7 1905,3
R47 1857,3
.S74 1978,3
.R66 1893,3
.S25 1969,3
.J33 1976,3
S76 1884,3
B47 1833,3
B37 1913,3
.N28 Index 1967,3
M46 1883,3
C47 1911,3
S47 1869,3
I57 1920,3
I5 1902,3
D75 1921,3
B17 1949,3
N49 1887,3
B37 1900z,3
.P86 1865,3
A4 1994,3
A213 1937,3
A4 2002,3
.M33 1903,3
.R6364 1910,3
.S5337 1966,3
S36 1971,3
A3 1959,3
A3 1992,3
.B44 1884,3
A3 1990,3
S59 1924,3
B371 1939,3
A1 1869,3
P74 1898,3
N67 1930,3
W5 1923,3
.W55 1902,3
A263 1929,3
A53 1941,3
M35 1876,3
B37 1908,3
R44 1923,3
1886,3
C66 1980,3
M36 1896,3
.A4 1887b,3
H6 1908,3
P74 1936,3
.V36 1898,3
.V36 1909,3
.I544 1931,3
.G32 Index 1973,3
.F678 1953,3
.S74 1974 c.1,3
W47 1876,3
.A372 1906,3
A3 1900,3
R43 1904,3
N49 1950,3
.S3968 1910,3
A3 1971,3
.C992 1912,3
A3 1950,3
.A25 1926,3
C37 1987,3
N49 1977,3
.O82 1904,3
C4 1924,3
.W4368 1878,3
.A6 1895,3
.P43345 1928,3
C58 1896,3
N58 1973,3
.C29 1961,3
I574 1904,3
F57 1919,3
.L6847 1892,3
S66 1907,3
.G6639 1921b,3
.B8726 1893a,3
M66 1900,3
.S623 1934,3
F57 1902,3
A3 1960,3
M217 1971,3
F57 1870,3
.W74 1872,3
R44 1954,3
.M327 1962,3
A2 1885,3
.L28 1932,3
D7 1962,3
R8 1902 c.1,3
P74 1879,3
.A43 1885 c.1,3
W15 1921,3
E54 1900z,3
.R64 1887,3
A24 1899,2
Z75 1969,2
.L5637 1917,2
A85 1956,2
.C35 1906,2
.L9 1812,2
K3 1973,2
L29,2
S7 1905,2
C46 1931,2
C6 1907,2
.N7 1915,2
R446 1913,2
P85 1870,2
G46 1934,2
C37 1889,2
B76 1857 c.3,2
A5 1889,2
I37 1975,2
.V363778 1912,2
F57 1918,2
C68 1939,2
Atlas (7)1874,2
A5 1867,2
.R66 1955,2
2008,2
V36 1926,2
.P3775 1862c,2
1961,2
.W4664 1878,2
.G693 1919,2
M39 1983 c.1,2
.E65 1865,2
P74 1907,2
A3 1877,2
A5 1969,2
.M327385 1931,2
.A3 1853,2
.H8 1918,2
T45 1899,2
W38 1889,2
.C37 1914,2
F57 1913,2
.H7 1898,2
G8 1887,2
F57 1914,2
.R6356 1926,2
P75 1990,2
L54 1884,2
L854 1885,2
.B42 1911,2
R68 1939,2
R44 1853,2
B37 1972,2
.L88 1884,2
.A5 1917,2
S47 1868,2
.D6 1915,2
G73 1891,2
T75 1963,2
.A43 1914,2
E17 1975,2
M55 1977,2
W55 1929,2
.S55 1967,2
.L31 1799,2
.P44 1911,2
A7 1969,2
.D446 1914,2
U6 1900z,2
A2 1891,2
S36 1897,2
A5 1878,2
.M395 1910,2
.S8 1887,2
M37 1913,2
.M694 1909,2
C37 1894,2
.S783 1961,2
.O35 1900z,2
.W66 1964,2
K56 1985,2
.C377947 1971,2
A4 2004,2
B76 1971,2
.B4 1874,2
R44 1904,2
B35 1934,2
.E57 1998,2
R9 1909,2
.P37776 1912,2
F57 1936,2
T47 1899,2
N58 1868,2
H15 1879,2
C48 1900z,2
.J77 1928,2
.H3 1902,2
S64 1858,2
C66 1904,2
A25 1915,2
.H3954 1936,2
B67 1982,2
C45 1895,2
.S5663 1882,2
B87 1960,2
.B44 1893,2
R44 1916,2
U6 1960,2
W5 1856,2
B87 1901,2
.B76 1929,2
.S12 1864,2
H57 1910,2
N58 1903,2
1891,2
.G37 1989,2
S85,2
.A3 1855,2
T84 1902,2
Atlas (41b)1909/12,2
.S7484 1940,2
D48 1995 c.2,2
D38 1989,2
N58 1930,2
P65 1922,2
F57 1891,2
W5 1929,2
.B34 1910,2
.E464 1913,2
.B44 1852,2
.B44 1896,2
N37 1987,2
R44 1910,2
Atlas (27)1890,2
.F753 1905,2
C6 1843,2
D45 2010,2
A2 1949,2
P59 1891,2
S54 1916,2
I574 1920,2
M38 1900z,2
F577 1902,2
Atlas (58)1931,2
.H36 1902,2
.H36266 1902b,2
.B33 1852,2
B76 1865,2
M43 1868,2
Atlas (57)1929,2
.C3 1916,2
.K56,2
G726 1865,2
H57 1864,2
A263 1970,2
.G67 1970,2
A3 1931,2
M48 1892,2
W85 2015,2
U55 1908,2
C67 1921,2
.T965 1973,2
.D776 1811,2
.S54 1824,2
P591 1900z,2
Atlas (16)1877,2
C66 1878,2
R44 1906,2
