,w
v.1,1015
v.2,914
v.3,396
v.4,204
v.5,123
v.6,86
v.7,63
pt.1,47
v.8,47
pt.2,43
v.9,29
v.10,28
v.11,21
c.2,19
v.12,17
v.15,15
pt.3,14
v.13,14
v.14,13
v.19,10
v.18,10
v.17,10
v.21,9
v.16,9
v.20,9
"v.1,pt.1",7
v.22,7
v.1 pt.2,7
v.1 pt.1,7
v.1/2,7
"v.1,pt.2",7
pt.4,6
v.23,6
year,5
v.25,5
"v.2,pt.2",5
"v.2,pt.1",4
v.26,4
v.1-2,4
v.44,4
bk.1,4
v.27,4
"v.4,pt.2",4
bk.2,4
v.24,4
no.2,3
v.36,3
1922,3
v.33,3
v.35,3
v.45,3
1920,3
v.46,3
v.48,3
v.29,3
v.39,3
"v.4,pt.1",3
"v.3,pt.1",3
v.37,3
v.30,3
v.38,3
v.47,3
v.40,3
c. 2,3
v.43,3
v.7 suppl.,3
v.51,3
no.1,3
v.41,3
v.34,3
"v.3,pt.2",3
v.32,3
v.28,3
pt.5,3
ward 11,2
1894,2
1889,2
pt.1/3,2
1899,2
"v.5,pt.1",2
pt.6,2
v.42,2
1921,2
bk.3,2
1918,2
1926,2
1929,2
ward 2,2
1884,2
t.2,2
t.3,2
v.53,2
v.54,2
v.C,2
1928,2
1890,2
v. 3,2
v.50,2
v.1:pt.1,2
v.52,2
c.1,2
v.49,2
year ???,2
1880,2
1939,2
ward 3,2
ward 6,2
"v.2,pt.3",2
1916,2
v.1-3,2
1900,2
v.7 pt.1,2
1877,2
1906,2
1893,2
ser.2,2
1882,2
1930,2
v.7 pt.2,2
1904,2
ward 4,2
ser.1,2
"v.2,pt.4",2
1912,2
1888,2
volumes (year ),2
ward 7,2
1913,2
1885,2
1927,2
1919,2
1926/1927,2
1895,2
ward 22,2
1902,2
1896,2
v.31,2
v.W-Z,1
1945,1
pt. 2,1
v.8(1837),1
v.140,1
index v.1,1
v. 1 (1850/1851),1
v.63,1
v. 14,1
1858,1
v.A,1
v.8(1827),1
v.186,1
v. 8 (1941/1942),1
v.96,1
v.110,1
v.116-121,1
v.70,1
v.127,1
v.135,1
S-1,1
v.167,1
v.3 sect.1,1
v.159,1
v.204,1
v.61,1
v.123,1
1914,1
v.11(1811),1
t.1,1
ser.3,1
1915,1
1872/1873,1
S-20,1
v.6(1825),1
v.31-42,1
bk.12,1
"new ser.:v.3(1919),",1
v.63-75,1
v.120,1
bk.21,1
v. 4-7,1
v.119,1
v.130,1
1876,1
pt.2:v.2,1
v.94-109,1
v.175,1
v.8(1808),1
suppl.2,1
v.3(1803),1
1861,1
1949,1
no.51,1
v. 7,1
v.12(1841),1
"v.2, pt.1",1
v.187,1
v.4 Index,1
v.3/4,1
S-18,1
v.87,1
1851,1
ward.6,1
1942,1
v.201,1
v.17(1817),1
1874,1
v.185,1
1843,1
v.16(1845),1
bk.24,1
v.5(1824),1
v. 1:no.22(1898),1
v.106,1
v.66,1
v.95,1
v.190,1
v.7(1836),1
v.200,1
v.45-48,1
pt. 1,1
v.91,1
v.105,1
S-4,1
v.10 pt.1,1
v.86,1
bk.22,1
1849,1
v.A-B,1
v.155,1
v.18(1818),1
ser.8,1
1901,1
v.116,1
v.G-H,1
v.4(1833),1
vol.1,1
bk.6,1
v.10 pt.2,1
v.75,1
1947/1948,1
v.13(1842),1
bk.9,1
v.168,1
v.169,1
bk.4,1
1910,1
v.5(1834),1
v.11(1840),1
1908,1
v.165-168,1
sect.3,1
1st(1902/1903:v.1),1
v.125,1
1955,1
v. 6 (1939/1940),1
v.1(1830),1
"new ser:no.1(1916/1917),",1
v.139,1
v.12:pt.1,1
