,j
B P-1915-1933.A,23
(66) NYC-1969.A,5
(82) Q-1901-1904.A,3
IPOF E449.B624 1985,3
Q-1928.A,3
PAMP Sumner-3,2
L.I.-1851.Fl.RA,2
Microfilm Reel,2
PAMP HenryCS-1,2
(112) US-1959.A,2
PAMP Sumner-14,2
PAMP Africanus-1,2
B P-1849.Fl,2
B P-[1855].Folded,2
Microfilm Reel 3:13,2
NYC-2006b.Fl,2
B A-1966.Fl,2
NYC-2014b.Fl,2
PAMP AFAS-3,2
B P-[1841].Fl,2
Bergen-1877f.Fl,1
"USGS-1:62,500 (Goshen).Fl",1
IPOF E441.D248 2003,1
1988.062,1
NYS-1903.Fl,1
1985.040,1
Bergen-1868d.Fl,1
V1991.007,1
NYC-[2008].Fl,1
B A-1971o.Fl,1
NYC-1867a.Fd,1
PAMP Duffield-2,1
NYC-1879.Fl,1
B P-1988a.Fl.Folio,1
PAMP Child-2,1
PAMP Freeman-1,1
V1991.074,1
Bergen-1881.Fl,1
M-1836.Fl.O,1
1977.212,1
B A-1868.Fl,1
Q-1842.Fl,1
B P-[1847].Fl,1
2006.025,1
ARC.074,1
Lefferts PR6023.O15 S74 1913,1
B P-[1851]a.Fl,1
ARC.093,1
Bergen-[1887?].Fl,1
B A-1935.Fl,1
V1985.004,1
1992.012,1
PAMP Collamer-1,1
1978.167,1
Bergen-1855c.Fl,1
PAMP Edwards-1,1
ARC.081,1
1973.213,1
1973.177,1
ARC.176,1
Pierrepont-1856.Fl,1
1974.135,1
PAMP Curtis-1,1
2008.038,1
V1991.106,1
Bergen-1877d.Fl,1
N.E.-1975.Fl,1
Pierrepont-[1835?].Fl,1
1977.409,1
B A-1827 (1861?).Fl,1
Q-1891.A.RA,1
B A-1962e.Fl,1
ARC.156,1
ARC.104,1
B P-[183-?].Fl.Folio c.2,1
B C-1898.Fl.Folio,1
1977.191,1
NYC-1955.Fl,1
1981.014,1
1977.023,1
V1988.005,1
NYC-[1851].Fd.RA,1
B P-1898.Fl,1
ARC.136,1
1977.568,1
L.I.-1670-1948 (1948?).Fl,1
V1987.040,1
ARC.240,1
V1987.039,1
ARC.255,1
1974.108,1
L.I.-1600-1850 (1974).Fl c.2,1
1977.420,1
1973.142,1
ARC.182,1
ARC.105,1
PAMP LPS-1,1
PAMP McDonogh-2,1
PAMP Census-1,1
V1987.019,1
Bergen-1876a.Fl,1
B A-1892.Fl,1
NYC-1975.Fd.Folio,1
1977.612,1
PAMP Pratt-1,1
2007.014,1
ARC.098,1
L.I.-1853.Fl,1
1986.017,1
1973.214,1
NYC-2004.Fl,1
PAMP Boardman-1,1
PAMP Douglas-4,1
PAMP Benjamin-1,1
M-1808 (1852).Fl,1
L.I.-1937.Fd,1
PAMP Tocqueville-1,1
1974.064,1
M-1609 (1909).Fl.O,1
NYS-1805(1847)b.Fl,1
L.I.-[1973?].Fl,1
(105) World-1963.A,1
1978.051,1
B P-[1835]c.Fl,1
"D.P.W.-1:24,000 (Mamaroneck Quad).R",1
L.I.-1915.Fl,1
PAMP Broderick-1,1
PAMP Bulkley-1,1
PAMP Infidelity-1,1
B A-1810 (19--?).Fl,1
PAMP Dawes-1,1
1973.258,1
V1980.002,1
PAMP Garrison-1,1
PAMP Redington-1,1
1973.230,1
1977.219,1
PAMP FisherE-1,1
PAMP Doolittle-2,1
PAMP HunterRMT-1,1
"USGS-1:62,500 (Ramapo).Fl",1
1977.272,1
1974.251,1
L.I.-[1873]n.Fl,1
PAMP SewardWH-6,1
1988.014,1
2004.027,1
PAMP MrLincoln-1,1
1988.011,1
2015.001,1
PAMP Drake-6,1
Bergen-1916.Fl,1
1977.218,1
1977.248,1
2008.017,1
PAMP PhillipsW-5,1
PAMP Benton-2,1
PAMP StoneTT-1,1
Bergen-1853.Fl,1
PAMP Bacon-4,1
PAMP Sherwood-1,1
ARC.254,1
1977.541,1
1977.657,1
PAMP Hayne-1,1
B P-[1894].A,1
ARC.149,1
1974.150,1
1974.109a,1
NYC-2002a.Fl,1
ARC.144,1
1973.231,1
Bergen-[18--?]j.Fl,1
PAMP StephensAH-1,1
CBBG E185.86.R618 2010,1
B P-[1895]a.Fl,1
CBBG F130.N4 M38 1997,1
1985.071,1
V1974.051,1
PAMP Sumner-7,1
PAMP NYYMRSF-1,1
PAMP Haskin-1,1
B C-1969.Fl,1
B P-[1869]e.Fl,1
PAMP Channing-4,1
PAMP Ready-1,1
1977.401,1
PAMP CIFPC-3,1
B PP-1982.Fl c.2,1
NYS-1846.Fl,1
B A-18th-19th century (1935).Fl,1
PAMP Hubbell-1,1
ARC.262,1
PAMP HallBR-1,1
PAMP Stanly-1,1
NYC-[1784?].Fl.RA,1
(77) L.I.-1906.A,1
NYS-17th-19th Century (1935).Fl,1
CBBG HD7287.72.U62 N634 2010,1
PAMP MAS-1,1
1977.351,1
Pierrepont-[185-?]a.Fl,1
B A-1897a.Fl,1
NYS-1838.Fl,1
B P-[1890].Fl.O,1
B A-[188-?]a.Fl,1
ARC.095,1
1986.004,1
Q-[1852].Fl,1
PAMP Hicks-2,1
V1987.038,1
2012.013,1
Lefferts PS3507.E49 B74 1921,1
1977.356,1
B P-[1834].Fl,1
Bergen-[18--?]l.Fl,1
PAMP ChaseSP-2,1
PAMP Higginson-2,1
B P-[1866].Fl.Folio,1
NYS-1940.FL.O,1
1977.660,1
2013.003,1
PAMP Burritt-1,1
1973.303,1
PAMP Whitcomb-1,1
L.I.-[1968].Fl,1
PAMP MillJS-2,1
ARC.129,1
NYS-1842.Folded,1
PAMP Hilliard-1,1
PAMP Merchant-1,1
1992.027,1
ARC.064,1
B A-1971s.Fl,1
PAMP MaySJ-1,1
1977.200,1
PAMP GordonWR-1,1
PAMP Colfax-2,1
V1974.033,1
CBBG E184.M47 N47 1999,1
ARC.075,1
1978.109,1
V1990.012,1
Q-1964-1965.Fl,1
B A-1894.Fl,1
B A-[19--?]g.Fl,1
PAMP ReedH-1,1
PAMP HaleJP-1,1
CBBG JV7050.Q44 L45 2003,1
"USGS-1:62,500 (Schunemunk).Fl",1
V1992.014,1
1977.546,1
1977.348,1
PAMP Billinghurst-1,1
PAMP Blagden-1,1
ARC.273,1
NYC-1942.Fl,1
1991.042,1
ARC.014,1
B A-1885.Fl c.2,1
NYC-[188-?].Fl,1
1977.531,1
1978.002,1
V1990.027,1
D.P.W.-1:24000 (Central Islip Quad).R,1
ARC.135,1
ARC.235,1
ARC.062,1
1974.016,1
L.I.-[195-?]b.Fl,1
ARC.231,1
B A-[1848?].Fl,1
1985.050,1
Q-1805.Fl,1
B P-[18--?]b.Fl,1
PAMP Dickey-1,1
1978.031,1
PAMP ConwayTW-1,1
PAMP Rantoul-1,1
Rev. War-1776 (1861).Fl,1
PAMP Browne-1,1
PAMP Weld-1,1
NYS-1937a.Fl,1
NYC-1776.Fl.RA,1
IPOF F128.44.S33 2005,1
PAMP Unanimous-1,1
B A-1867.Fl,1
PAMP CareyHC-1,1
Bergen-1892f.Fl,1
1974.218,1
B P-1863.Fl,1
L.I.-[184-?].Fl,1
Q-1834 (1849?).Fl.O,1
B A-[19--?]a.Fl,1
PAMP ParkerT-3,1
1977.617,1
"D.P.W.-1:24,000 (Southold Quad).R",1
B A-1881a.Folded,1
Bergen-1890a.Fl,1
V1988.034,1
PAMP PetersonDH-1,1
PAMP RI-1,1
B A-1971.Fl,1
